dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,mapping_status
O*NET Database,31.0,knowledge,onet_knowledge,2.C.8.b,Law and Government,Knowledge,"Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.4.a,Mathematics,Knowledge,"Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.3.e,Mechanical,Knowledge,"Knowledge of machines and tools, including their designs, uses, repair, and maintenance.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.5.a,Medicine and Dentistry,Knowledge,"Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.f,Personnel and Human Resources,Knowledge,"Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.7.e,Philosophy and Theology,Knowledge,"Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.4.b,Physics,Knowledge,"Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.2.a,Production and Processing,Knowledge,"Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.4.e,Psychology,Knowledge,"Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.8.a,Public Safety and Security,Knowledge,"Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.d,Sales and Marketing,Knowledge,"Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.4.f,Sociology and Anthropology,Knowledge,"Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.9.a,Telecommunications,Knowledge,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.5.b,Therapy and Counseling,Knowledge,"Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.",pending
O*NET Database,31.0,knowledge,onet_knowledge,2.C.10,Transportation,Knowledge,"Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.",pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.2.b,Active Learning,Essential Skill,Understanding the implications of new information for both current and future problem-solving and decision-making.,pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.1.b,Active Listening,Essential Skill,"Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.2.i,Complex Problem Solving,Transferable Skill,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.b,Coordination,Transferable Skill,Adjusting actions in relation to others' actions.,pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.2.a,Critical Thinking,Essential Skill,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.j,Equipment Maintenance,Transferable Skill,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.c,Equipment Selection,Transferable Skill,Determining the kind of tools and equipment needed to do a job.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.d,Installation,Transferable Skill,"Installing equipment, machines, wiring, or programs to meet specifications.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.e,Instructing,Transferable Skill,Teaching others how to do something.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.4.e,Judgment and Decision Making,Transferable Skill,Considering the relative costs and benefits of potential actions to choose the most appropriate one.,pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.2.c,Learning Strategies,Essential Skill,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.5.b,Management of Financial Resources,Transferable Skill,"Determining how money will be spent to get the work done, and accounting for these expenditures.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.5.c,Management of Material Resources,Transferable Skill,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.5.d,Management of Personnel Resources,Transferable Skill,"Motivating, developing, and directing people as they work, identifying the best people for the job.",pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.1.e,Mathematics,Essential Skill,Using mathematics to solve problems.,pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.2.d,Monitoring,Essential Skill,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.d,Negotiation,Transferable Skill,Bringing others together and trying to reconcile differences.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.h,Operation and Control,Transferable Skill,Controlling operations of equipment or systems.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.a,Operations Analysis,Transferable Skill,Analyzing needs and product requirements to create a design.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.g,Operations Monitoring,Transferable Skill,"Watching gauges, dials, or other indicators to make sure a machine is working properly.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.c,Persuasion,Transferable Skill,Persuading others to change their minds or behavior.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.e,Programming,Transferable Skill,Writing computer programs for various purposes.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.m,Quality Control Analysis,Transferable Skill,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance.",pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.1.a,Reading Comprehension,Essential Skill,Understanding written sentences and paragraphs in work-related documents.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.l,Repairing,Transferable Skill,Repairing machines or systems using the needed tools.,pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.1.f,Science,Essential Skill,Using scientific rules and methods to solve problems.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.f,Service Orientation,Transferable Skill,Actively looking for ways to help people.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.a,Social Perceptiveness,Transferable Skill,Being aware of others' reactions and understanding why they react as they do.,pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.1.d,Speaking,Essential Skill,Talking to others to convey information effectively.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.4.g,Systems Analysis,Transferable Skill,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.4.h,Systems Evaluation,Transferable Skill,"Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.",pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.b,Technology Design,Transferable Skill,Generating or adapting equipment and technology to serve user needs.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.5.a,Time Management,Transferable Skill,Managing one's own time and the time of others.,pending
O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.k,Troubleshooting,Transferable Skill,Determining causes of operating errors and deciding what to do about it.,pending
O*NET Database,31.0,skill,onet_essential_skills,2.A.1.c,Writing,Essential Skill,Communicating effectively in writing as appropriate for the needs of the audience.,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.2.c|1099 ProsSoftware,1099 ProsSoftware,Tax preparation software,,pending
O*NET Database,31.0,technology,onet_software_skills,2.E.9.k|1CadCam Unigraphics,1CadCam Unigraphics,Computer aided manufacturing CAM software,,pending
