career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,technology_name,software_category_id,software_category_name,hot_technology,in_demand,score_eligible
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.1.e|Atlassian Confluence,Atlassian Confluence,2.E.1.e,Project management software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.5.a|Atlassian JIRA,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.5.a|Atlassian JIRA,Atlassian JIRA,2.E.5.a,Content workflow software,Y,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Automated audit trail analysis software,Automated audit trail analysis software,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Automated audit trail analysis software,Automated audit trail analysis software,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.a|Automated installation software,Automated installation software,2.E.7.a,Configuration management software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.7.a|Automated installation software,Automated installation software,2.E.7.a,Configuration management software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Automated media tracking software,Automated media tracking software,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.11.a|Automated media tracking software,Automated media tracking software,2.E.11.a,Network monitoring software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.15.f|Backup and archival software,Backup and archival software,2.E.15.f,Backup or archival software,N,N,true
Cyber Security Analyst,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.15.f|Backup and archival software,Backup and archival software,2.E.15.f,Backup or archival software,N,N,true
Cyber Security Advice and Assessment Specialist,15-1212.00,Information Security Analysts,onet_software_skills,technology,2.E.13.c|Bash,Bash,2.E.13.c,Operating system software,Y,N,true
