canonical_key,alias,source_name,source_version,source_external_id,alias_basis
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,supplies planning,ESCO,1.2.1,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical storage structure,ESCO,1.2.1,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,the study of Earth’s surface,ESCO,1.2.1,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to cost-effective physiotherapy services,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to physiotherapy service quality development,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to quality development in physiotherapy,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to quality development in physiotherapy services,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,contribute to safe physiotherapy services,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,make contributions to the development of quality physiotherapy services,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,participate in activities for the development of quality physiotherapy services,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,participate in physiotherapy quality development activities,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,support quality physiotherapy service development,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,undertake physiotherapy service quality activities,ESCO,1.2.1,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,interpret electrical circuit diagrams,ESCO,1.2.1,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,interpret elementary diagrams,ESCO,1.2.1,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,read circuit diagrams,ESCO,1.2.1,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,read diagrams of circuits,ESCO,1.2.1,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,understand circuit blueprints,ESCO,1.2.1,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,understand circuit schematics,ESCO,1.2.1,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang programming language,ESCO,1.2.1,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,lead ICT data classification responsabilities,ESCO,1.2.1,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,organise ICT data classification responsibilities,ESCO,1.2.1,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,come up with solutions to problems,ESCO,1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,conceive solutions to problems,ESCO,1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solution to problems,ESCO,1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions,ESCO,1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,creating solutions to problems,ESCO,1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,devise solutions to problems,ESCO,1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,formulate solutions to problems,ESCO,1.2.1,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,data infrastructure,ESCO,1.2.1,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,data structuring methods,ESCO,1.2.1,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,types of data infrastructure,ESCO,1.2.1,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,esco_alternative_label
canonical:ESCO|esco_skills|http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,photographic surveying,ESCO,1.2.1,http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,esco_alternative_label
