source_key,dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,normalized_name,category,description,alt_labels
ESCO|esco_skills|http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/6e53fd99-b646-4327-9580-ac062ab21188,3D lighting,3d lighting,sector-specific,The arrangement or digital effect which simulates lighting in a 3D environment.,
ESCO|esco_skills|http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,3D modelling,3d modelling,cross-sector,The process of developing a mathematical representation of any three-dimensional surface of an object via specialised software. The product is called a 3D model. It can be displayed as a two-dimensional image through a process called 3D rendering or used in a computer simulation of physical phenomena. The model can also be physically created using 3D printing devices.,"three-dimensional modelling
3D representation
3D designing
3D graphics
3D modeling
3D rendering"
ESCO|esco_skills|http://data.europa.eu/esco/skill/2afb2b59-c9a3-4cf3-b1dd-1a2fad51e583,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/2afb2b59-c9a3-4cf3-b1dd-1a2fad51e583,3D printing process,3d printing process,sector-specific,The process of reproducing 3D objects by using 3D printing technologies.,3D Printing
ESCO|esco_skills|http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/eb0e5615-1575-4a86-a1a2-7d39595033c5,ABAP,abap,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ABAP.","ABAP Programming Techniques
ABAP software development
ABAP programming techniques
ABAP software techniques"
ESCO|esco_skills|http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,accounting department processes,accounting department processes,sector-specific,"The different processes, duties, jargon, role in an organisation, and other specificities of the accounting department within an organisation such as bookkeeping, invoices, recording, and taxing.","accounts department processes
accounting department procedures
accounting processes"
ESCO|esco_skills|http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,accounting entries,accounting entries,cross-sector,"The financial transactions recorded in accounting systems or books of a company together with the metadata linked to the entry such as the date, the amount, the accounts affected, and a description of the transaction.","accounting entry
account entries
accounting transactions
financial transactions records"
ESCO|esco_skills|http://data.europa.eu/esco/skill/880c54f9-866e-4f37-b5fa-25ef8a7d49b6,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/880c54f9-866e-4f37-b5fa-25ef8a7d49b6,accounting techniques,accounting techniques,cross-sector,"The techniques of recording and summarising business and financial transactions and analysing, verifying, and reporting the results.","accounting technique
accounting approaches
accounting methods
techniques of accounting
accounting skills
accounting performance"
ESCO|esco_skills|http://data.europa.eu/esco/skill/9b9244b4-6f62-4834-839b-19e9eba0a407,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/9b9244b4-6f62-4834-839b-19e9eba0a407,acute care,acute care,sector-specific,The type of care administered to patients for a brief and critical sequence of illness such as trauma or recovery from surgery.,"acute medicine
care in acute phase of illness
short term care
care for patients with an urgent medical condition
secondary health care"
O*NET Database|onet_knowledge|2.C.1.a,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.a,Administration and Management,administration and management,Knowledge,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.",
O*NET Database|onet_knowledge|2.C.1.b,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.b,Administrative,administrative,Knowledge,"Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.",
ESCO|esco_skills|http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/719d8699-a221-4b5a-8fc3-68a8645cbe03,adobe creative suite,adobe creative suite,sector-specific,"The set of software applications that are used to create visual content for personal or business use. Examples of items that can be generated are flyers, brochures, books, websites and videos.",Adobe Creative Cloud
ESCO|esco_skills|http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326,Adobe Illustrator,adobe illustrator,sector-specific,The computer program Adobe Illustrator CC is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,Adobe Illustrator CC
ESCO|esco_skills|http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop,adobe photoshop,sector-specific,The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,"Adobe Photoshop Elements
Adobe Photoshop CC"
ESCO|esco_skills|http://data.europa.eu/esco/skill/d4ae4774-a81d-4255-8491-cade3580685a,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/d4ae4774-a81d-4255-8491-cade3580685a,Adobe Photoshop Lightroom,adobe photoshop lightroom,sector-specific,The computer program Adobe Photoshop Lightroom is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,"Adobe Photoshop Lightroom for 2D Raster Graphics Generation
Adobe Photoshop Lightroom graphical ICT tool
Adobe Photoshop Lightroom for 2D Vector Graphics Creation
Adobe Photoshop Lightroom for 2D raster generation
Adobe Photoshop Lightroom for 2D vector graphics generation
Adobe Photoshop Lightroom for digital editing"
ESCO|esco_skills|http://data.europa.eu/esco/skill/52047630-b880-4939-bb19-6700187af031,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/52047630-b880-4939-bb19-6700187af031,adolescence medicine,adolescence medicine,cross-sector,"Topics related to the adolescent period of development such as sexually transmitted diseases, unintended pregnancy, contraception, substance abuse, menstrual disorders, acnee, eating disorders.","young adult medicine
medicine focusing on adolescents
adolescence-focused medicine
topics related to adolescence"
ESCO|esco_skills|http://data.europa.eu/esco/skill/aba1f05b-f312-47d8-be71-7c574134de8f,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/aba1f05b-f312-47d8-be71-7c574134de8f,advertising techniques,advertising techniques,cross-sector,"The communication strategies intended to persuade or encourage an audience, and the different media which are used to achieve this goal.","an advertising techniques
advertising methods
advertising technique
advertising performance
techniques of advertising
advertising approaches
advertising skills"
ESCO|esco_skills|http://data.europa.eu/esco/skill/80466be3-825a-456a-94ec-9c83c0007f0c,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/80466be3-825a-456a-94ec-9c83c0007f0c,aerodynamics,aerodynamics,cross-sector,"The scientific field that deals with the way gases interact with moving bodies. As we usually deal with atmospheric air, aerodynamics is primarily concerned with the forces of drag and lift, which are caused by air passing over and around solid bodies.",aeronautics
ESCO|esco_skills|http://data.europa.eu/esco/skill/5dd96c59-5955-474b-8cf5-e986a5b50f1a,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/5dd96c59-5955-474b-8cf5-e986a5b50f1a,aerospace engineering,aerospace engineering,cross-sector,"The engineering discipline that combines various technologies and engineering disciplines such as avionics, materials science and aerodynamics in order to design, develop and manufacture aircraft, spacecraft, missiles and satillites.","spacecraft engineering
astronautical engineering
aeronautical engineering
aircraft engineering"
ESCO|esco_skills|http://data.europa.eu/esco/skill/6db3ac8e-8636-4ced-965b-75e35c3193c3,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/6db3ac8e-8636-4ced-965b-75e35c3193c3,aesthetics,aesthetics,cross-sector,Set of principles based on which something is appealing and beautiful.,"principles of beauty
aesthetic beauty
aestheticism
aesthetic movement"
ESCO|esco_skills|http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,agile development,sector-specific,The agile development model is a methodology to design software systems and applications.,"Agile Development Environment
Agile Software Development Practices
Agile frameworks
Agile software environment
Agile development framework
Agile software development methods
Agile software development
Agile scrum development framework"
ESCO|esco_skills|http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,agile project management,sector-specific,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",Agile management software
ESCO|esco_skills|http://data.europa.eu/esco/skill/532bcdca-a889-4dea-8f7f-4e03d8cfd0d2,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/532bcdca-a889-4dea-8f7f-4e03d8cfd0d2,aircraft mechanics,aircraft mechanics,cross-sector,Technicalities over mechanics in aircrafts and related topics in order to perform a wide range of repais in aircrafts.,"mechanics of aircrafts
aeroplane mechanics
helicopter mechanics
airplane mechanics"
ESCO|esco_skills|http://data.europa.eu/esco/skill/b4dc6e4f-dc7d-445f-8ce2-d7b9d225e282,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/b4dc6e4f-dc7d-445f-8ce2-d7b9d225e282,AJAX,ajax,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in AJAX.","AJAX technology
AJAX software
AJAX techniques"
ESCO|esco_skills|http://data.europa.eu/esco/skill/8c88d336-c249-4537-b26e-d679a85c4b9b,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/8c88d336-c249-4537-b26e-d679a85c4b9b,Ajax Framework,ajax framework,sector-specific,The Ajax software development environments which provide specific features and components that support and guide web applications development.,"Ajax Framework features
Ajax Framework features for web applications development
Ajax framework for web applications development
Ajax Framework components
AJAX Development Environments
AJAX Framework for Web Application Development
Ajax framework features for web applications development
Ajax software development environments
Ajax framework components
Ajax framework features
AJAX Framework Features for Web Development
Ajax Framework for web applications development"
ESCO|esco_skills|http://data.europa.eu/esco/skill/6f8a40d6-f9ce-43ec-a72f-d4213a53f3ed,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/6f8a40d6-f9ce-43ec-a72f-d4213a53f3ed,Ansible,ansible,sector-specific,"The tool Ansible is a software program to perform configuration identification, control, status accounting and audit.",Ansible automation tool
ESCO|esco_skills|http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,apache maven,sector-specific,"The tool Apache Maven is a software program to perform configuration identification, control, status accounting and audit of software during its development and maintenance.",Maven
ESCO|esco_skills|http://data.europa.eu/esco/skill/0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,Apache Tomcat,apache tomcat,sector-specific,"The open-source web server Apache Tomcat provides a Java web server environment which uses a built in container where HTTP requests are loaded, allowing the Java web applications to run on local and server based systems.",Tomcat
ESCO|esco_skills|http://data.europa.eu/esco/skill/58d7a289-dafd-4363-833f-d1dc4140885e,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/58d7a289-dafd-4363-833f-d1dc4140885e,APL,apl,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in APL.",APL programming paradigms
ESCO|esco_skills|http://data.europa.eu/esco/skill/c4b626c1-e71c-44ec-9f88-042766f37fcc,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/c4b626c1-e71c-44ec-9f88-042766f37fcc,application usability,application usability,sector-specific,"The process through which the learnability, efficiency, usefulness and ease of use of a software application can be defined and measured.",software usability
ESCO|esco_skills|http://data.europa.eu/esco/skill/829d1376-41bf-4c41-9bc3-62dce647677c,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/829d1376-41bf-4c41-9bc3-62dce647677c,artificial lighting systems,artificial lighting systems,sector-specific,"Types of artificial lighting and their power consumption. HF fluorescent lighting, LED lighting, natural daylight and programmed control systems allow an efficient use of energy.","LED lighting system
HF fluorescent power consumption
LED lights power consumption
artificial light and power consumption
HF fluorescent lighting system"
ESCO|esco_skills|http://data.europa.eu/esco/skill/56a7f561-1d55-43c9-9cd7-36a0a9bc6c50,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/56a7f561-1d55-43c9-9cd7-36a0a9bc6c50,ASP.NET,asp.net,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ASP.NET.",ASP.NET framework
ESCO|esco_skills|http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,Assembly (computer programming),assembly computer programming,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Assembly.","Assembly computer programming paradigms
Assembly software development techniques
Assembly software development principles
Assembly
Assembly algorithms"
ESCO|esco_skills|http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/7f27f1ff-2e17-4b69-990e-c23334478313,assessment of risks and threats,assessment of risks and threats,cross-sector,The security documentation and any security-related communications and information.,"principles of assessment of risks and threats
methods for handling security-related information
methods for assessment of risks and threats
principles for handling security-related information
techniques for handling security-related information
techniques for assessment of risks and threats"
ESCO|esco_skills|http://data.europa.eu/esco/skill/501537a7-9d63-491d-ae02-09f04767ff1e,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/501537a7-9d63-491d-ae02-09f04767ff1e,attack vectors,attack vectors,sector-specific,"Paths or methods that threat actors use to exploit vulnerabilities in information networks or systems from a concrete organisation and impact its availability, integrity and confidentiality. Attack vectors may include social engineering tactics such as phishing mails or pretexting, technical exploits as SQL injection as well as buffer overflow attacks.","information security threats
cybersecurity threats
ICT security threats"
ESCO|esco_skills|http://data.europa.eu/esco/skill/cae4c053-05d1-413d-8499-f37793aad56e,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/cae4c053-05d1-413d-8499-f37793aad56e,audio editing software,audio editing software,cross-sector,"The various software for editing and generating audio, such as Adobe Audition, Soundforge, and Power Sound Editor.","audio editing program
audio editing plugin
audio edit software"
ESCO|esco_skills|http://data.europa.eu/esco/skill/6a536b36-c5c7-4d10-bf67-a4fb0f8549b2,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/6a536b36-c5c7-4d10-bf67-a4fb0f8549b2,audit techniques,audit techniques,cross-sector,"The techniques and methods that support a systematic and independent examination of data, policies, operations and performances using computer-assisted audit tools and techniques (CAATs) such as spreadsheets, databases, statistical analysis and business intelligence software.","audit procedures
battery audit process"
ESCO|esco_skills|http://data.europa.eu/esco/skill/abdc7ac8-151f-40c6-bc1a-1e9b4b073290,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/abdc7ac8-151f-40c6-bc1a-1e9b4b073290,augmented reality,augmented reality,cross-sector,"The process of adding diverse digital content (such as images, 3D objects, etc) on surfaces that exist in the real world. The user can interact in real-time with the technology by using devices such as mobile phones.","AR techniques
augmented reality creation process
AR creation process
augmented reality techniques
AR"
ESCO|esco_skills|http://data.europa.eu/esco/skill/d4789070-2ff7-4bbb-94ca-8bb1739826a9,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/d4789070-2ff7-4bbb-94ca-8bb1739826a9,authoring software,authoring software,cross-sector,"The software that provides pre-programmed elements which allow the development of interactive multimedia applications in order to edit, structure and lay out content intended for publication.",
ESCO|esco_skills|http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694,automation technology,automation technology,cross-sector,"Set of technologies that make a process, system, or apparatus operate automatically through the use of control systems.","automation in production systems
control systems technology
control systems
technologies of automation
automation in maintenance
technology of control systems
technology for control systems
automation technologies"
ESCO|esco_skills|http://data.europa.eu/esco/skill/0864c444-c22f-46ee-ae1e-c0eeffd49c34,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/0864c444-c22f-46ee-ae1e-c0eeffd49c34,battery design,battery design,sector-specific,"The techniques used to design batteries, characterise their properties and performance, including electrochemical analysis and physical measurements, as well as to devise the integration of various components, in order to meet specific requirements for different applications.","design and development of battery systems
battery engineering
battery characterisation techniques
battery module design
battery system design
automotive development processes
battery cell design"
ESCO|esco_skills|http://data.europa.eu/esco/skill/1cdd0afe-196f-4d8a-924f-4d7473cce3c7,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/1cdd0afe-196f-4d8a-924f-4d7473cce3c7,battery management systems,battery management systems,sector-specific,The electronic system that manages and monitors the performance of a battery.,"battery control systems
battery monitoring systems"
ESCO|esco_skills|http://data.europa.eu/esco/skill/269b8734-fa1d-4c6f-a843-523fa3bbae6e,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/269b8734-fa1d-4c6f-a843-523fa3bbae6e,behavioural science,behavioural science,cross-sector,The investigation and analysis of subject behaviour through regulated and lifelike observations and disciplined scientific experiments.,"behavioral research
study of human behavior
psychology of behavior"
ESCO|esco_skills|http://data.europa.eu/esco/skill/1d4b74b0-1a48-48ec-a3cd-26cca0c212a3,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/1d4b74b0-1a48-48ec-a3cd-26cca0c212a3,biological chemistry,biological chemistry,sector-specific,Biological chemistry is a medical specialty mentioned in the EU Directive 2005/36/EC.,"analysis of chemical and biological interactions
analysis of chemical processes in relation to biological macromolecules"
O*NET Database|onet_knowledge|2.C.4.d,O*NET Database,31.0,knowledge,onet_knowledge,2.C.4.d,Biology,biology,Knowledge,"Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.",
ESCO|esco_skills|http://data.europa.eu/esco/skill/8a06c621-adfe-41df-8fe9-6b33f1ea3f0a,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/8a06c621-adfe-41df-8fe9-6b33f1ea3f0a,biomechanics,biomechanics,cross-sector,The use of mechanical means to understand the function and structure of biological organisms.,"applying methods of mechanics to biological systems
understanding biological organisms by mechanical means"
ESCO|esco_skills|http://data.europa.eu/esco/skill/61bef658-d7f9-4759-b1b0-0f9cb3bc581a,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/61bef658-d7f9-4759-b1b0-0f9cb3bc581a,biotechnology,biotechnology,cross-sector,"The technology that uses, modifies or harnesses biological systems, organisms and cellular components to develop new technologies and products for specific uses.","bio-science
science of biotechnology
bio-technology
bio-tech
science of bioscience
field of bio-science
science of bio-science
field of bio-technology
field of bioscience
field of biotechnology
science of bio-technology"
ESCO|esco_skills|http://data.europa.eu/esco/skill/3c2e6f38-42c1-46ec-b782-5854b2db330d,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/3c2e6f38-42c1-46ec-b782-5854b2db330d,blockchain openness,blockchain openness,sector-specific,"The different levels of openness of a blockchain, their differences, and their advantages and disadvantages. Examples are permissionless, permissioned, and hybrid blockchains.","public blockchain
permissioned blockchain
private blockchain
permissionless blockchain
hybrid blockchain"
ESCO|esco_skills|http://data.europa.eu/esco/skill/9035afc4-5317-455d-ab60-f32e2ecc6bfc,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/9035afc4-5317-455d-ab60-f32e2ecc6bfc,blockchain platforms,blockchain platforms,sector-specific,"The different integrated infrastructures, each with their own characteristics, that allow the development of blockchain applications. Examples are multichain, ehtereum, hyperledger, corda, ripple, openchain, etc.","blockchain ecosystems
blockchain infrastructures"
ESCO|esco_skills|http://data.europa.eu/esco/skill/d1072655-88ce-4445-8803-e6273da273e7,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/d1072655-88ce-4445-8803-e6273da273e7,blueprints,blueprints,cross-sector,"Must be able to read and understand blueprints, drawings and plans and maintain simple written records.","technical drawings
technical plans
technical blueprints
schematics"
ESCO|esco_skills|http://data.europa.eu/esco/skill/1492f016-379c-4dbe-a3f6-6b486c103b8f,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/1492f016-379c-4dbe-a3f6-6b486c103b8f,bobath therapy,bobath therapy,sector-specific,The therapy used to help children and adults after stroke who have movement disorders (cerebral palsy) to improve their ability to move and develop their (lost) skills.,"Bobath approach
Bobath technique
bobath technique
bobath approach
bobath concept of neurological rehabilitation
bobath concept
Bobath concept
Bobath therapy
bobath-therapy"
ESCO|esco_skills|http://data.europa.eu/esco/skill/2ff405ec-f59c-4a7b-84b6-9776a49582c4,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/2ff405ec-f59c-4a7b-84b6-9776a49582c4,bookkeeping regulations,bookkeeping regulations,cross-sector,The methods and regulations involved in the process of accurate bookkeeping.,"accounting controls
accounting governance
accounting supervision
accounting arrangements
book keeping supervision
book keeping governance
book keeping arrangements
book keeping controls"
ESCO|esco_skills|http://data.europa.eu/esco/skill/9242ad54-dc3d-41b3-9cfe-142fa8582511,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/9242ad54-dc3d-41b3-9cfe-142fa8582511,brand marketing techniques,brand marketing techniques,cross-sector,The methods and systems used in researching and establishing a brand identity for marketing purposes.,"brand marketing technique
brand marketing skills
marketing technique brand
brand marketing methods
brand marketing approaches
a brand marketing technique
brand marketing performance"
ESCO|esco_skills|http://data.europa.eu/esco/skill/3eb03076-6fb4-48a1-8b36-36b5a5031ead,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/3eb03076-6fb4-48a1-8b36-36b5a5031ead,bridge engineering,bridge engineering,sector-specific,"Thoroughly understand principles and characteristics of bridge management, bridge deck loading, bridge durability, steel and composite bridge design, long span bridges, etc.","structural engineering for bridges
technical bridge construction
bridge construction activities
engineering for bridges
structural bridge engineering
bridge construction
bridge building
bridge design
structural bridge management"
O*NET Database|onet_knowledge|2.C.3.d,O*NET Database,31.0,knowledge,onet_knowledge,2.C.3.d,Building and Construction,building and construction,Knowledge,"Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.",
ESCO|esco_skills|http://data.europa.eu/esco/skill/6709e92c-7546-46a4-aa57-5e951bd4cb0f,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/6709e92c-7546-46a4-aa57-5e951bd4cb0f,building automation,building automation,cross-sector,"Type of automatic control system where through a Building Managements System or Building Automation System (BAS) the control of a building's ventilation, humidity, heating, lighting and other systems is being automated at centralized location and monitored through electronic systems. Can be set to optimize energy consumption.","types of building management system
sorts of building automation
typology of building automation
BMS
types of BMS
types of building automation system
kinds of building automation
types of building automation
types of BAS
automation of buildings
building management systems"
ESCO|esco_skills|http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/633a3637-2c6b-40ae-ac38-289eb2a62aa6,business analysis,business analysis,cross-sector,"The research field which addresses the identification of business needs and problems and the determination of the solutions that would mitigate or prevent the smooth functioning of a business. Business analysis comprises IT solutions, market challenges, policy development and strategic matters.","company analysis
analysis of businesses
business analyses
enterprise analysis"
ESCO|esco_skills|http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9,business analytics,business analytics,sector-specific,The disciplines and technologies for solving business problems through employing quantitative methods such as data analysis and statistical models.,business data analytics
ESCO|esco_skills|http://data.europa.eu/esco/skill/b17f4305-741a-4a1c-8fe8-6f11cb3d5c0a,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/b17f4305-741a-4a1c-8fe8-6f11cb3d5c0a,business communication,business communication,cross-sector,The process of effectively communicating within the workplace and to external bodies to achieve organisational goals.,business communication process
ESCO|esco_skills|http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53,business ICT systems,business ict systems,sector-specific,"The software packages, hardware devices and new technologies used in supporting business processes such as enterprise resource planning (ERP), customer relationship management (CRM), mobile devices and network solutions.",business IT systems
ESCO|esco_skills|http://data.europa.eu/esco/skill/61ddacb8-c89f-48c2-afe8-9e1b14c0c8fb,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/61ddacb8-c89f-48c2-afe8-9e1b14c0c8fb,business incubation,business incubation,cross-sector,"The process through which an individual or an organization contributes to the development and growth of a business start-up. It includes physical facility support (such as offices), networking support (such as connecting with partners or investors) and support services (such as providing coaching session on business development, technological innovation, scaling up a business, etc).","entrepreneurial incubation
startup incubation"
ESCO|esco_skills|http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,business intelligence,cross-sector,The tools used to transform large amounts of raw data into relevant and helpful business information.,"business analytics
BI
business intelligence tools"
ESCO|esco_skills|http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/341c4478-c976-4ff0-a102-cfd92174d873,business law,business law,cross-sector,"The field of law concerned with the trade and commerce activities of businesses and private persons and their legal interactions. This relates to numerous legal disciplines, including tax and employment law.","business norms
the law of business
business laws
business regulation
business legislation"
ESCO|esco_skills|http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,business management principles,business management principles,cross-sector,"Principles governing business management methods such as strategy planning, methods of efficient production, people and resources coordination.","principles of business management
business management standards
business management foundations
business management fundamentals
business management principle
business management conventions
a business management principle"
ESCO|esco_skills|http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb,ESCO,1.2.1,knowledge,esco_skills,http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb,business process modelling,business process modelling,sector-specific,"The tools, methods and notations such as Business Process Model and Notation (BPMN) and Business Process Execution Language (BPEL), used to describe and analyse the characteristics of a business process and model its further development.","process modelling
BPMN
business process modeling"
