left_source,left_source_key,left_concept_type,left_external_id,left_name,right_source,right_source_key,right_concept_type,right_external_id,right_name,match_basis,name_similarity,description_overlap,ranking_score,review_status,review_reason
O*NET Database,O*NET Database|onet_essential_skills|2.A.1.d,skill,2.A.1.d,Speaking,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/c330db31-7fa9-4a8c-8ad6-baa957bcfed1,skill,http://data.europa.eu/esco/skill/c330db31-7fa9-4a8c-8ad6-baa957bcfed1,install operating system,fuzzy_review:OS loading,55.56,0.0,44.45,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.4.g,skill,2.B.4.g,Systems Analysis,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/3f86173d-e101-4fcd-934f-ff9de29c081c,skill,http://data.europa.eu/esco/skill/3f86173d-e101-4fcd-934f-ff9de29c081c,perform system analysis,fuzzy_review:perform systems analysis,80.0,22.22,68.44,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.4.g,skill,2.B.4.g,Systems Analysis,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/5d26851b-270a-4fbe-abeb-2bfd6eba3e2d,skill,http://data.europa.eu/esco/skill/5d26851b-270a-4fbe-abeb-2bfd6eba3e2d,analyse logistic changes,fuzzy_review:logistic changes analysis,63.41,3.85,51.5,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.4.g,skill,2.B.4.g,Systems Analysis,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317,skill,http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317,perform risk analysis,fuzzy_review:complete risk analysis,63.16,0.0,50.53,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.4.h,skill,2.B.4.h,Systems Evaluation,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/a3aff665-ab4a-4a9a-9eba-0cd60cba6517,skill,http://data.europa.eu/esco/skill/a3aff665-ab4a-4a9a-9eba-0cd60cba6517,conduct physiotherapy assessment,fuzzy_review:conduct physiotherapy evaluation,60.0,0.0,48.0,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.4.h,skill,2.B.4.h,Systems Evaluation,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/8df59017-f8e3-4a48-b321-79a38c597748,skill,http://data.europa.eu/esco/skill/8df59017-f8e3-4a48-b321-79a38c597748,manage tests,fuzzy_review:supervise examinations,55.0,0.0,44.0,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.4.h,skill,2.B.4.h,Systems Evaluation,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/3f86173d-e101-4fcd-934f-ff9de29c081c,skill,http://data.europa.eu/esco/skill/3f86173d-e101-4fcd-934f-ff9de29c081c,perform system analysis,fuzzy_review:perform systems analysis,52.38,4.76,42.86,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.3.b,skill,2.B.3.b,Technology Design,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/c214d86e-fbb8-45c0-87d4-f2cefc954057,skill,http://data.europa.eu/esco/skill/c214d86e-fbb8-45c0-87d4-f2cefc954057,select sustainable technologies in design,fuzzy_review:adopt sustainable technology in design,61.82,0.0,49.46,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.3.b,skill,2.B.3.b,Technology Design,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/fe4a9fb8-2963-4b23-8a18-e033197304f2,skill,http://data.europa.eu/esco/skill/fe4a9fb8-2963-4b23-8a18-e033197304f2,design sensors,fuzzy_review:sensor designing,60.61,0.0,48.49,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.3.b,skill,2.B.3.b,Technology Design,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679,skill,http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679,define technology strategy,fuzzy_review:define technology strategy,60.47,0.0,48.38,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.5.a,skill,2.B.5.a,Time Management,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca,skill,http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca,apply change management,fuzzy_review:alter management,83.87,0.0,67.1,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.5.a,skill,2.B.5.a,Time Management,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,skill,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,manage supplies,fuzzy_review:supplies management,76.47,0.0,61.18,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.5.a,skill,2.B.5.a,Time Management,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/953c0b65-537a-42fe-a90b-26cd36c64361,skill,http://data.europa.eu/esco/skill/953c0b65-537a-42fe-a90b-26cd36c64361,manage logistics,fuzzy_review:logistics management,74.29,0.0,59.43,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.3.k,skill,2.B.3.k,Troubleshooting,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/9e06bac6-6b91-48ca-8b7d-c1f48cdecd7c,skill,http://data.europa.eu/esco/skill/9e06bac6-6b91-48ca-8b7d-c1f48cdecd7c,solve ICT system problems,fuzzy_review:troubleshoot system,70.59,4.17,57.31,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.3.k,skill,2.B.3.k,Troubleshooting,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/744442ac-c157-4350-8be0-ce454df4f5c5,skill,http://data.europa.eu/esco/skill/744442ac-c157-4350-8be0-ce454df4f5c5,perform ICT troubleshooting,fuzzy_review:perform ICT troubleshooting,71.43,0.0,57.14,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.3.k,skill,2.B.3.k,Troubleshooting,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/440d5784-52a5-4729-8b04-29f978bd896d,skill,http://data.europa.eu/esco/skill/440d5784-52a5-4729-8b04-29f978bd896d,respond to incidents in cloud,fuzzy_review:troubleshoot cloud incidents,65.12,0.0,52.1,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_essential_skills|2.A.1.c,skill,2.A.1.c,Writing,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a,skill,http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a,fix meetings,fuzzy_review:fix meeting,55.56,0.0,44.45,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_essential_skills|2.A.1.c,skill,2.A.1.c,Writing,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/bbbd263e-affb-4ec8-84fb-3e5d9e62306b,skill,http://data.europa.eu/esco/skill/bbbd263e-affb-4ec8-84fb-3e5d9e62306b,model hardware,fuzzy_review:hardware simulating,53.85,0.0,43.08,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_essential_skills|2.A.1.c,skill,2.A.1.c,Writing,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/ce592b28-4467-4908-b2e6-64bbe18da631,skill,http://data.europa.eu/esco/skill/ce592b28-4467-4908-b2e6-64bbe18da631,perform copywriting,fuzzy_review:perform copywriting,53.85,0.0,43.08,pending,Fuzzy candidate only. Do not merge without manual review.
