source_key,dataset_source,dataset_version,concept_type,source_domain,external_skill_id,preferred_name,category,description,reason
O*NET Database|onet_knowledge|2.C.1.d,O*NET Database,31.0,knowledge,onet_knowledge,2.C.1.d,Sales and Marketing,Knowledge,"Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.4.f,O*NET Database,31.0,knowledge,onet_knowledge,2.C.4.f,Sociology and Anthropology,Knowledge,"Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.9.a,O*NET Database,31.0,knowledge,onet_knowledge,2.C.9.a,Telecommunications,Knowledge,"Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.5.b,O*NET Database,31.0,knowledge,onet_knowledge,2.C.5.b,Therapy and Counseling,Knowledge,"Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.",No approved automatic normalization match.
O*NET Database|onet_knowledge|2.C.10,O*NET Database,31.0,knowledge,onet_knowledge,2.C.10,Transportation,Knowledge,"Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.",No approved automatic normalization match.
O*NET Database|onet_essential_skills|2.A.2.b,O*NET Database,31.0,skill,onet_essential_skills,2.A.2.b,Active Learning,Essential Skill,Understanding the implications of new information for both current and future problem-solving and decision-making.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.2.i,O*NET Database,31.0,skill,onet_transferable_skills,2.B.2.i,Complex Problem Solving,Transferable Skill,Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.1.b,O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.b,Coordination,Transferable Skill,Adjusting actions in relation to others' actions.,No approved automatic normalization match.
O*NET Database|onet_essential_skills|2.A.2.a,O*NET Database,31.0,skill,onet_essential_skills,2.A.2.a,Critical Thinking,Essential Skill,"Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.j,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.j,Equipment Maintenance,Transferable Skill,Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.c,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.c,Equipment Selection,Transferable Skill,Determining the kind of tools and equipment needed to do a job.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.d,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.d,Installation,Transferable Skill,"Installing equipment, machines, wiring, or programs to meet specifications.",No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.1.e,O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.e,Instructing,Transferable Skill,Teaching others how to do something.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.4.e,O*NET Database,31.0,skill,onet_transferable_skills,2.B.4.e,Judgment and Decision Making,Transferable Skill,Considering the relative costs and benefits of potential actions to choose the most appropriate one.,No approved automatic normalization match.
O*NET Database|onet_essential_skills|2.A.2.c,O*NET Database,31.0,skill,onet_essential_skills,2.A.2.c,Learning Strategies,Essential Skill,Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.5.b,O*NET Database,31.0,skill,onet_transferable_skills,2.B.5.b,Management of Financial Resources,Transferable Skill,"Determining how money will be spent to get the work done, and accounting for these expenditures.",No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.5.c,O*NET Database,31.0,skill,onet_transferable_skills,2.B.5.c,Management of Material Resources,Transferable Skill,"Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.",No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.5.d,O*NET Database,31.0,skill,onet_transferable_skills,2.B.5.d,Management of Personnel Resources,Transferable Skill,"Motivating, developing, and directing people as they work, identifying the best people for the job.",No approved automatic normalization match.
O*NET Database|onet_essential_skills|2.A.1.e,O*NET Database,31.0,skill,onet_essential_skills,2.A.1.e,Mathematics,Essential Skill,Using mathematics to solve problems.,No approved automatic normalization match.
O*NET Database|onet_essential_skills|2.A.2.d,O*NET Database,31.0,skill,onet_essential_skills,2.A.2.d,Monitoring,Essential Skill,"Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.",No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.1.d,O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.d,Negotiation,Transferable Skill,Bringing others together and trying to reconcile differences.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.h,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.h,Operation and Control,Transferable Skill,Controlling operations of equipment or systems.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.a,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.a,Operations Analysis,Transferable Skill,Analyzing needs and product requirements to create a design.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.g,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.g,Operations Monitoring,Transferable Skill,"Watching gauges, dials, or other indicators to make sure a machine is working properly.",No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.1.c,O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.c,Persuasion,Transferable Skill,Persuading others to change their minds or behavior.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.e,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.e,Programming,Transferable Skill,Writing computer programs for various purposes.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.m,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.m,Quality Control Analysis,Transferable Skill,"Conducting tests and inspections of products, services, or processes to evaluate quality or performance.",No approved automatic normalization match.
O*NET Database|onet_essential_skills|2.A.1.a,O*NET Database,31.0,skill,onet_essential_skills,2.A.1.a,Reading Comprehension,Essential Skill,Understanding written sentences and paragraphs in work-related documents.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.3.l,O*NET Database,31.0,skill,onet_transferable_skills,2.B.3.l,Repairing,Transferable Skill,Repairing machines or systems using the needed tools.,No approved automatic normalization match.
O*NET Database|onet_essential_skills|2.A.1.f,O*NET Database,31.0,skill,onet_essential_skills,2.A.1.f,Science,Essential Skill,Using scientific rules and methods to solve problems.,No approved automatic normalization match.
O*NET Database|onet_transferable_skills|2.B.1.f,O*NET Database,31.0,skill,onet_transferable_skills,2.B.1.f,Service Orientation,Transferable Skill,Actively looking for ways to help people.,No approved automatic normalization match.
