left_source,left_source_key,left_concept_type,left_external_id,left_name,right_source,right_source_key,right_concept_type,right_external_id,right_name,match_basis,name_similarity,description_overlap,ranking_score,candidate_rank,review_priority,review_status,review_reason
O*NET Database,O*NET Database|onet_knowledge|2.C.2.a,knowledge,2.C.2.a,Production and Processing,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77,knowledge,http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77,production processes,fuzzy_review:production process,83.72,23.53,71.68,1,medium,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.3.m,skill,2.B.3.m,Quality Control Analysis,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/41a3240f-58ba-44e2-a688-edeb21ea5c16,skill,http://data.europa.eu/esco/skill/41a3240f-58ba-44e2-a688-edeb21ea5c16,conduct quality control analysis,fuzzy_review:conduct quality control analysis,85.71,54.55,79.48,1,high,pending,Fuzzy candidate only. Do not merge without manual review.
O*NET Database,O*NET Database|onet_transferable_skills|2.B.4.g,skill,2.B.4.g,Systems Analysis,ESCO,ESCO|esco_skills|http://data.europa.eu/esco/skill/3f86173d-e101-4fcd-934f-ff9de29c081c,skill,http://data.europa.eu/esco/skill/3f86173d-e101-4fcd-934f-ff9de29c081c,perform system analysis,fuzzy_review:perform systems analysis,80.0,22.22,68.44,1,medium,pending,Fuzzy candidate only. Do not merge without manual review.
